questionId,jobRole,category,difficulty,question,expectedAnswer,keywords,followUpQuestions,scoringRubric,estimatedTime,isActive,createdBy,created_at,updated_at,job_id
ex_b_001,EXECUTIVE_MARKETING,BEHAVIORAL,MEDIUM,Describe a time you negotiated a deal where pricing was a hurdle.,"Looking for: Value-based selling, relationship management, and persistence.","[""value-sell"",""negotiation"",""persistence""]",[],"{""excellent"":""Focuses on long-term ROI and TCO"",""good"":""Gives discount"",""poor"":""Gives up""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_b_002,EXECUTIVE_MARKETING,BEHAVIORAL,HARD,How do you prioritize sales leads with limited resources?,Looking for: Strategic thinking and focusing on high-margin strategic accounts.,"[""qualification"",""prioritization"",""margin""]",[],"{""excellent"":""Uses scoring system for lead potential"",""good"":""Big companies first"",""poor"":""Random""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_b_003,EXECUTIVE_MARKETING,BEHAVIORAL,MEDIUM,How do you stay updated with industry trends?,Looking for: Continuous learning through journals and networking.,"[""learning"",""market intel"",""networking""]",[],"{""excellent"":""Mentions specific journals/platforms"",""good"":""LinkedIn"",""poor"":""No effort""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_001,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,What key technical advantages does ABS have over standard Polystyrene?,ABS offers much higher impact resistance due to the Butadiene component and better aesthetic finish and heat resistance due to Acrylonitrile and Styrene.,"[""impact"",""butadiene"",""aesthetic""]",[],"{""excellent"":""Explains role of all 3 components in ABS"",""good"":""Mentions impact strength"",""poor"":""Vague""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_002,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,HARD,"Explain ""Hygroscopy"" in polymers like Nylon and how it affects processing.","Nylon absorbs moisture from the air. If not dried before processing, moisture leads to hydrolysis (chain breaking), resulting in weak parts and surface defects (splay marks).","[""moisture"",""hydrolysis"",""drying""]",[],"{""excellent"":""Explains chemical chain breaking mechanism"",""good"":""Mentions drying is needed"",""poor"":""Wrong concept""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_003,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,How does crude oil price volatility affect your pricing strategy for polymer compounds?,"Polymer pricing is heavily tied to oil. High prices increase ethylene/propylene feedstocks, requiring value-based discussions with long-term clients.","[""feedstock"",""crude oil"",""margin""]",[],"{""excellent"":""Discusses feedstock correlation and margin protection"",""good"":""Knows relationship"",""poor"":""No link""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_004,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,"What is the purpose of ""Flame Retardant"" (FR) additives?","FR additives reduce flammability, slow flame spread, and reduce smoke. A common standard is UL 94 (V0, V1, V2 ratings).","[""UL 94"",""smoke"",""ignition""]",[],"{""excellent"":""Explains UL 94 ratings in detail"",""good"":""Mentions UL 94"",""poor"":""No knowledge of FR""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_005,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,HARD,"Describe the ""Lot-to-Lot"" variation issue and how to reassure a customer.",Variations occur due to raw material shifts. Reassurance comes from strict QC testing and providing a Detailed Certificate of Analysis (COA).,"[""COA"",""consistency"",""testing""]",[],"{""excellent"":""Mentions statistical process control and COA validation"",""good"":""Says we check quality"",""poor"":""Ignore variation""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_006,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,"What are the benefits of using ""Filler"" (like Talc) in polymer compounds?","Fillers reduce cost, increase stiffness (modulus), and improve heat deflection temperature (HDT), though they may decrease impact strength.","[""cadence"",""stiffness"",""HDT""]",[],"{""excellent"":""Balances cost vs property trade-offs"",""good"":""Says cheaper"",""poor"":""Doesn't know fillers""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
ex_t_007,EXECUTIVE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,"How is ""Shrinkage"" managed in precision molded parts?",Shrinkage is managed via material selection and mold compensation. Crystalline polymers shrink more than amorphous ones.,"[""crystalline"",""amorphous"",""compensation""]",[],"{""excellent"":""Compares crystalline vs amorphous shrinkage"",""good"":""Mentions mold temp"",""poor"":""Generic""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_b_001,MANAGEMENT_TRAINEE_MARKETING,BEHAVIORAL,MEDIUM,Tell us about a time you had to explain a complex topic to someone without technical knowledge.,"Looking for: Communication skills, use of analogies, patience, and ability to simplify technical jargon for clients.","[""analogy"",""simplify"",""clarity""]",[],"{""excellent"":""Uses structured analogy and checks for understanding"",""good"":""Explains clearly"",""poor"":""Too technical""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_b_002,MANAGEMENT_TRAINEE_MARKETING,BEHAVIORAL,MEDIUM,How would you handle a situation where a customer is unhappy with the color consistency of a batch?,"Looking for: Empathy, data-driven approach (checking COA), coordination with QC, and problem-solving mindset.","[""empathy"",""QC"",""COA"",""solution""]",[],"{""excellent"":""Proposes batch comparison and formal QC report"",""good"":""Wants to replace batch"",""poor"":""Passive or argumentative""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_b_003,MANAGEMENT_TRAINEE_MARKETING,BEHAVIORAL,MEDIUM,What motivates you to work in the industrial polymer sector over consumer goods?,"Looking for: Interest in B2B cycles, technical sales, and the tangible impact of industrial materials on infrastructure.","[""B2B"",""industrial"",""long-term""]",[],"{""excellent"":""Shows passion for technical value-added selling"",""good"":""Mentions career growth"",""poor"":""Generic motivation""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_001,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,EASY,What is the primary difference between Thermoplastics and Thermosets?,"Thermoplastics have linear/branched chains that can be remelted and recycled (e.g. PE, PP). Thermosets form a permanent chemical cross-linked network during curing and cannot be remelted (e.g. Epoxy).","[""recycle"",""cross-link"",""melt""]",[],"{""excellent"":""Mentions molecular structure and recyclability"",""good"":""Mentions melting behavior"",""poor"":""Wrong definitions""}",3,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_002,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,EASY,"Define ""Melt Flow Index"" (MFI) and why it matters in sales.",MFI measures how easily a polymer flows under specific temperature/pressure. Higher MFI means lower viscosity. It is a critical spec for customers to ensure the material fits their injection or extrusion machines.,"[""viscosity"",""flow"",""processing""]",[],"{""excellent"":""Relates flow to customer equipment compatibility"",""good"":""Correct definition of flow"",""poor"":""No idea what MFI is""}",3,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_003,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,What are the main applications of Polypropylene (PP) in the automotive sector?,"PP is used for interior trims, dashboards, and bumpers due to its high fatigue resistance, chemical inertness, and ability to be reinforced with fillers like glass fiber.","[""automotive"",""fatigue"",""reinforce""]",[],"{""excellent"":""Mentions specific parts and reinforcement property"",""good"":""Mentions general car parts"",""poor"":""Unaware of automotive uses""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_004,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,EASY,Why are UV stabilizers added to polymers intended for outdoor use?,"UV radiation causes photodegradation, leading to chain breaking, discoloration, and brittleness. Stabilizers like HALS or UV absorbers prevent this breakdown and extend product life.","[""degradation"",""HALS"",""absorbers""]",[],"{""excellent"":""Explains chemical breakdown vs mechanical failure"",""good"":""Mentions sun protection"",""poor"":""Generic answer""}",3,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_005,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,"What is the role of a ""Masterbatch"" in polymer compounding?",Masterbatch is a concentrated mixture of pigments or additives encapsulated in a carrier resin. It allows for efficient and uniform distribution of color or specific properties into the base polymer.,"[""concentrate"",""pigment"",""dispersion""]",[],"{""excellent"":""Mentions carrier resin and dispersion efficiency"",""good"":""Mentions coloring"",""poor"":""Wrong usage""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_006,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,Identify three common defects in injection molding.,"Warping (uneven cooling), Flow Lines (temperature imbalance), and Burn Marks (high heat/trapped air). Knowledge of defects helps marketing troubleshoot customer complaints.","[""warping"",""flow lines"",""sink marks""]",[],"{""excellent"":""Identifies 3+ defects and their causes"",""good"":""Identifies 2 defects"",""poor"":""Cannot identify any""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
mt_t_007,MANAGEMENT_TRAINEE_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,Explain the difference between Tensile Strength and Impact Strength.,Tensile strength is the resistance to being pulled apart (stretching); Impact strength is the ability to absorb shock/energy without breaking (hitting).,"[""stretch"",""shock"",""load""]",[],"{""excellent"":""Differentiates between gradual load vs sudden shock"",""good"":""Basic definitions"",""poor"":""Confuses the two""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_b_001,RUBBER_PROCESS_ENGINEER,BEHAVIORAL,HARD,Describe a production failure you analyzed.,Looking for: Root Cause Analysis (RCA) and preventive action (CAPA).,"[""RCA"",""CAPA"",""prevent""]",[],"{""excellent"":""Uses structured RCA (5 Whys)"",""good"":""Solves problem"",""poor"":""Blames others""}",6,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_b_002,RUBBER_PROCESS_ENGINEER,BEHAVIORAL,MEDIUM,How do you balance speed with quality standards?,Looking for: Focus on SOPs and process optimization.,"[""SOP"",""optimization"",""quality""]",[],"{""excellent"":""Discusses process capability (Cpk)"",""good"":""Follows rules"",""poor"":""Speeds past rules""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_b_003,RUBBER_PROCESS_ENGINEER,BEHAVIORAL,MEDIUM,How do you handle disagreement with a supervisor?,Looking for: Data-driven negotiation and professionalism.,"[""data"",""professional"",""respect""]",[],"{""excellent"":""Uses data tests to prove point"",""good"":""Talks it out"",""poor"":""Conflict""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_001,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,HARD,"Explain the process of ""Vulcanization"".","Vulcanization is the chemical cross-linking of polymer chains with sulfur, transforming material into an elastic state.","[""sulfur"",""cross-link"",""elastic""]",[],"{""excellent"":""Describes chemical bonding process"",""good"":""Mentions sulfur"",""poor"":""Wrong""}",6,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_002,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,MEDIUM,"What is ""Mooney Viscosity""?","It measures the stiffness/flow of raw rubber, ensuring it can be mixed and molded effectively.","[""Banbury"",""stiffness"",""flow""]",[],"{""excellent"":""Relates to mixing and mold flow"",""good"":""Rubber flow"",""poor"":""N/A""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_003,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,HARD,Difference between Natural Rubber (NR) and Nitrile Rubber (NBR)?,NR degrades in oil; NBR has Acrylonitrile which provides excellent oil resistance.,"[""swelling"",""acrylonitrile"",""oil""]",[],"{""excellent"":""Mentions ACN content role"",""good"":""NBR is for oil"",""poor"":""No diff""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_004,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,MEDIUM,"Role of ""Carbon Black"" in rubber?","A reinforcing filler that improves tensile strength, abrasion resistance, and provides UV protection.","[""reinforce"",""abrasion"",""UV""]",[],"{""excellent"":""Mentions reinforcement vs color"",""good"":""Strength"",""poor"":""Color only""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_005,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,MEDIUM,"Define ""Compression Set"".",Commonly refers to permanent deformation after compression. Low set is critical for seals/gaskets.,"[""seal"",""deformation"",""gasket""]",[],"{""excellent"":""Explains loss of sealing force"",""good"":""No bounce back"",""poor"":""Generic""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_006,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,HARD,"What is ""Scorching"" in rubber?",Premature vulcanization during mixing. Prevented with retarders and temp control.,"[""pre-cure"",""retarder"",""heat""]",[],"{""excellent"":""Discusses induction time role"",""good"":""Hardens too fast"",""poor"":""N/A""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
re_t_007,RUBBER_PROCESS_ENGINEER,TECHNICAL_DEEP_DIVE,MEDIUM,"What is ""Blooming"" in rubber?","Migration of solid additives (like waxes) to the surface, creating a white coating.","[""migration"",""surface"",""bloom""]",[],"{""excellent"":""Identifies as solubility limit migration"",""good"":""Dusty coating"",""poor"":""N/A""}",4,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
